Feature,Importance
COH.B.theta.d.F3.m.T5,0.0
COH.B.theta.d.F3.n.P3,0.0
COH.B.theta.d.F3.o.Pz,0.0
COH.B.theta.d.F3.p.P4,0.0
COH.B.theta.d.F3.q.T6,0.0
COH.B.theta.d.F3.r.O1,0.0
COH.B.theta.d.F3.s.O2,0.0
COH.B.theta.e.Fz.f.F4,0.0
COH.B.theta.e.Fz.g.F8,0.0
COH.B.theta.e.Fz.h.T3,0.0
COH.B.theta.e.Fz.i.C3,0.0
COH.B.theta.e.Fz.j.Cz,0.0
COH.B.theta.e.Fz.k.C4,0.0
COH.B.theta.e.Fz.l.T4,0.0
COH.B.theta.e.Fz.m.T5,0.0
COH.B.theta.e.Fz.n.P3,0.0
COH.B.theta.e.Fz.o.Pz,0.0
COH.B.theta.e.Fz.p.P4,0.0
COH.B.theta.e.Fz.q.T6,0.0
COH.B.theta.e.Fz.r.O1,0.0
COH.B.theta.e.Fz.s.O2,0.0
COH.B.theta.f.F4.g.F8,0.0
COH.B.theta.f.F4.h.T3,0.0
COH.B.theta.f.F4.i.C3,0.0
COH.B.theta.f.F4.j.Cz,0.0
COH.B.theta.f.F4.k.C4,0.0
COH.B.theta.f.F4.l.T4,0.0
COH.B.theta.f.F4.m.T5,0.0
COH.B.theta.f.F4.n.P3,0.0
COH.B.theta.f.F4.o.Pz,0.0
COH.B.theta.f.F4.p.P4,0.0
COH.B.theta.f.F4.q.T6,0.0
COH.B.theta.f.F4.r.O1,0.0
COH.B.theta.f.F4.s.O2,0.0
COH.B.theta.g.F8.h.T3,0.0
COH.B.theta.g.F8.i.C3,0.0
COH.B.theta.g.F8.k.C4,0.0
COH.B.theta.g.F8.l.T4,0.0
COH.B.theta.g.F8.m.T5,0.0
COH.B.theta.g.F8.n.P3,0.0
COH.B.theta.g.F8.o.Pz,0.0
COH.B.theta.g.F8.p.P4,0.0
COH.B.theta.g.F8.r.O1,0.0
COH.B.theta.g.F8.s.O2,0.0
COH.B.theta.h.T3.i.C3,0.0
COH.B.theta.h.T3.j.Cz,0.0
COH.B.theta.h.T3.k.C4,0.0
COH.B.theta.h.T3.l.T4,0.0
COH.B.theta.h.T3.m.T5,0.0
COH.B.theta.h.T3.n.P3,0.0
COH.B.theta.h.T3.o.Pz,0.0
COH.B.theta.h.T3.q.T6,0.0
COH.B.theta.h.T3.r.O1,0.0
COH.B.theta.h.T3.s.O2,0.0
COH.B.theta.i.C3.k.C4,0.0
COH.B.theta.i.C3.l.T4,0.0
COH.B.theta.i.C3.m.T5,0.0
COH.B.theta.i.C3.n.P3,0.0
COH.B.theta.i.C3.o.Pz,0.0
COH.B.theta.i.C3.p.P4,0.0
COH.B.theta.i.C3.q.T6,0.0
COH.B.theta.i.C3.r.O1,0.0
COH.B.theta.i.C3.s.O2,0.0
COH.B.theta.j.Cz.k.C4,0.0
COH.B.theta.j.Cz.l.T4,0.0
